Ward Code,nimdm_ward_lgd,official_ward_lgd,SOA Code,SOA Name
95GG51,Woodvale Belfast,WOODVALE BELFAST,95GG51S3,Woodvale 3
95HH01,Blackhead Carrickfergus,BLACKHEAD CARRICKFERGUS,95HH01W1,Blackhead
95HH02,Bluefield Carrickfergus,BLUEFIELD CARRICKFERGUS,95HH02S1,Bluefield 1
95HH02,Bluefield Carrickfergus,BLUEFIELD CARRICKFERGUS,95HH02S2,Bluefield 2
95HH03,Boneybefore Carrickfergus,BONEYBEFORE CARRICKFERGUS,95HH03W1,Boneybefore
95HH04,Burleigh Hill Carrickfergus,BURLEIGH HILL CARRICKFERGUS,95HH04S1,Burleigh Hill 1
95HH04,Burleigh Hill Carrickfergus,BURLEIGH HILL CARRICKFERGUS,95HH04S2,Burleigh Hill 2
95HH05,Clipperstown Carrickfergus,CLIPPERSTOWN CARRICKFERGUS,95HH05W1,Clipperstown
95HH06,Eden Carrickfergus,EDEN CARRICKFERGUS,95HH06S1,Eden 1
95HH06,Eden Carrickfergus,EDEN CARRICKFERGUS,95HH06S2,Eden 2
95HH07,Gortalee Carrickfergus,GORTALEE CARRICKFERGUS,95HH07W1,Gortalee
95HH08,Greenisland Carrickfergus,GREENISLAND CARRICKFERGUS,95HH08W1,Greenisland
95HH09,Killycrot Carrickfergus,KILLYCROT CARRICKFERGUS,95HH09W1,Killycrot
95HH10,Knockagh Carrickfergus,KNOCKAGH CARRICKFERGUS,95HH10W1,Knockagh
95HH11,Love Lane Carrickfergus,LOVE LANE CARRICKFERGUS,95HH11W1,Love Lane
95HH12,Milebush Carrickfergus,MILEBUSH CARRICKFERGUS,95HH12W1,Milebush
95HH13,Northland Carrickfergus,NORTHLAND CARRICKFERGUS,95HH13W1,Northland
95HH14,Sunnylands Carrickfergus,SUNNYLANDS CARRICKFERGUS,95HH14W1,Sunnylands
95HH15,Victoria Carrickfergus,VICTORIA (CARRICKFERGUS) CARRICKFERGUS,95HH15W1,Victoria (Carrickfergus LGD)
95HH16,Whitehead Carrickfergus,WHITEHEAD CARRICKFERGUS,95HH16W1,Whitehead
95HH17,Woodburn Carrickfergus,WOODBURN CARRICKFERGUS,95HH17W1,Woodburn
95II01,Ballyhanwood Castlereagh,BALLYHANWOOD CASTLEREAGH,95II01S1,Ballyhanwood 1
95II01,Ballyhanwood Castlereagh,BALLYHANWOOD CASTLEREAGH,95II01S2,Ballyhanwood 2
95II02,Beechill Castlereagh,BEECHILL CASTLEREAGH,95II02S1,Beechill 1
95II02,Beechill Castlereagh,BEECHILL CASTLEREAGH,95II02S2,Beechill 2
95II02,Beechill Castlereagh,BEECHILL CASTLEREAGH,95II02S3,Beechill 3
95II03,Cairnshill Castlereagh,CAIRNSHILL CASTLEREAGH,95II03S1,Cairnshill 1
